"reference","slug","order","module_reference","unit_reference","part","concept_categories","title","topics","description","tutorials","Todo","directory","permalink"
"sélecteurs","sélecteurs","27","page-web","html-css-js-bases","css-fondamentaux","Les base de CSS","Sélecteurs"," id, class, élément","Sélecteurs par tag, classe, ID","","","page-web/css-fondamentaux","page-web/sélecteurs"
"propriétés-base","propriétés-base","28","page-web","html-css-js-bases","css-fondamentaux","Les base de CSS","Propriétés de base"," color, font-size, background, etc.","Couleurs, polices, tailles","","","page-web/css-fondamentaux","page-web/propriétés-base"
"boîte-css","boîte-css","29","page-web","html-css-js-bases","css-fondamentaux","Les base de CSS","Boîte CSS ","box-model","Modèle de boîte CSS, marges, bordures, paddings, contenus","","","page-web/css-fondamentaux","page-web/boîte-css"
"positionnement-float","positionnement-float","30","page-web","html-css-js-bases","css-fondamentaux","Les base de CSS","Positionnement float","position, float, clear","Utilisation et gestion des flottants","","","page-web/css-fondamentaux","page-web/positionnement-float"
"manipulation-dom","manipulation-dom","31","page-web","html-css-js-bases","js-fondamentaux","DOM","Manipulation du DOM ","   - Sélection d'éléments DOM
   - Modification du contenu et des attributs","","","","page-web/js-fondamentaux","page-web/manipulation-dom"
"événements","événements","32","page-web","html-css-js-bases","js-fondamentaux","Événements","Événements","   - Gestion des événements (clic, survol, etc.)
   - Écouteurs d'événements","","","","page-web/js-fondamentaux","page-web/événements"
"structures-données","structures-données","33","logique-programmation","algorithme","algorithmique","","Structures de données","Tableaux, listes, tables de hachage","","","","logique-programmation/algorithmique","logique-programmation/structures-données"
"algorithmique","algorithmique","34","logique-programmation","algorithme","algorithmique","","Algorithmique","   - Introduction à la pensée algorithmique
   - Résolution de problèmes algorithmiques simples","","","","logique-programmation/algorithmique","logique-programmation/algorithmique"
"balises-sémantiques","balises-sémantiques","35","page-web","html-css-js-maîtrise","html-intermédiaire","La Structure","Balises sémantiques","header, footer, nav, section, article","Importance des balises sémantiques pour l'accessibilité et le SEO
","","","page-web/html-intermédiaire","page-web/balises-sémantiques"
"formulaires","formulaires","36","page-web","html-css-js-maîtrise","html-intermédiaire","La Structure","Formulaires","Création de formulaires avec différentes entrées (texte, radio, checkbox, etc.)","","","","page-web/html-intermédiaire","page-web/formulaires"
"tableaux","tableaux","37","page-web","html-css-js-maîtrise","html-intermédiaire","La Structure","Tableaux"," table, tr, td, th","Création des tables","","","page-web/html-intermédiaire","page-web/tableaux"
"iframes","iframes","38","page-web","html-css-js-maîtrise","html-intermédiaire","La Structure","Iframes"," intégration de contenu externe","","","","page-web/html-intermédiaire","page-web/iframes"
"positionnement","positionnement","39","page-web","html-css-js-maîtrise","css-intermédiaire","","Positionnement ","Positionnement absolu, relatif, fixe","","","","page-web/css-intermédiaire","page-web/positionnement"
"flexbox","flexbox","40","page-web","html-css-js-maîtrise","css-intermédiaire","","Flexbox","Création de mises en page flexibles avec Flexbox","","","","page-web/css-intermédiaire","page-web/flexbox"
"grid","grid","41","page-web","html-css-js-maîtrise","css-intermédiaire","","Grid","Création de grilles complexes avec CSS Grid","","","","page-web/css-intermédiaire","page-web/grid"
"événements-avancée","événements-avancée","42","page-web","html-css-js-maîtrise","js-intermédiaire","","Événements","Gestion avancée des événements","","","","page-web/js-intermédiaire","page-web/événements-avancée"
"asynchrone","asynchrone","43","page-web","html-css-js-maîtrise","js-intermédiaire","","Asynchrone","- Utilisation des promesses et de async/await","","","","page-web/js-intermédiaire","page-web/asynchrone"
"dom-avancée","dom-avancée","44","page-web","html-css-js-maîtrise","js-intermédiaire","","Manipulation avancée du DOM","- Techniques avancées pour manipuler le DOM","","","","page-web/js-intermédiaire","page-web/dom-avancée"
"initiation-gestion-de-version","initiation-gestion-de-version","45","Initiation-git","git","git","","Initiation à la gestion de version","","","","","Initiation-git/git","Initiation-git/initiation-gestion-de-version"
"objets-prototypes","objets-prototypes","46","poo-js","poo-js","poo-js","","Objets et prototypes","   - Création et manipulation d'objets
   - Héritage et prototypes","","","","poo-js/poo-js","poo-js/objets-prototypes"
"optimisation-web","optimisation-web","47","site-web","html-css-js-avancée","html-avancée","","Optimisation pour le web","Techniques d'optimisation des performances (compression, minification)","","","","site-web/html-avancée","site-web/optimisation-web"
"accessibilité-wcag","accessibilité-wcag","48","site-web","html-css-js-avancée","html-avancée","","Accessibilité (WCAG)","   - Principes de l'accessibilité web
   - Mise en œuvre des recommandations WCAG","","","","site-web/html-avancée","site-web/accessibilité-wcag"
"seo","seo","49","site-web","html-css-js-avancée","html-avancée","","SEO","Techniques de SEO pour améliorer le classement dans les moteurs de recherche","","","","site-web/html-avancée","site-web/seo"
"animations-css","animations-css","50","site-web","html-css-js-avancée","css-animations","","Animations CSS","Création et gestion des animations CSS","","","","site-web/css-animations","site-web/animations-css"
"transitions-css","transitions-css","51","site-web","html-css-js-avancée","css-animations","","Transitions CSS","Utilisation des transitions pour créer des effets visuels","","","","site-web/css-animations","site-web/transitions-css"
"techniques-avancées","techniques-avancées","52","site-web","html-css-js-avancée","css-animations","","Techniques avancées","Techniques avancées pour des animations complexes","","","","site-web/css-animations","site-web/techniques-avancées"
"media-queries","media-queries","53","site-web","html-css-js-avancée","css-responsive-design","","Media queries","","","","","site-web/css-responsive-design","site-web/media-queries"
"unités-relatives","unités-relatives","54","site-web","html-css-js-avancée","css-responsive-design","","Unités relatives","","","","","site-web/css-responsive-design","site-web/unités-relatives"
"responsive design","responsive design","55","site-web","html-css-js-avancée","css-responsive-design","","Responsive design","","","","","site-web/css-responsive-design","site-web/responsive design"
"asynchrone","asynchrone","56","site-web","html-css-js-avancée","js-avancée","","Asynchrone","Promesses et async/await","","","","site-web/js-avancée","site-web/asynchrone"
"bibliothèques-javascript","bibliothèques-javascript","57","site-web","html-css-js-avancée","js-avancée","","Bibliothèques JavaScript","Introduction à jQuery et à une bibliothèque moderne (Vue.js)","","","","site-web/js-avancée","site-web/bibliothèques-javascript"
"ajax","api","58","site-web","html-css-js-avancée","js-avancée","","Ajax","Interaction avec des API externes (fetch, axios)","","","","site-web/js-avancée","site-web/api"
"stockage-local","stockage-local","59","site-web","html-css-js-avancée","js-avancée","","Stockage local","Utilisation de localStorage et sessionStorage","","","","site-web/js-avancée","site-web/stockage-local"
"tests-unitaires","tests-unitaires","60","site-web","html-css-js-avancée","js-avancée","","Tests unitaires","Introduction à Jest et Mocha pour les tests unitaires","","","","site-web/js-avancée","site-web/tests-unitaires"
"frameworks-css","frameworks-css","61","","spécialisation-création-site-web","optimisation-performances","","Frameworks CSS","Bootstrap, Foundation","","","","/optimisation-performances","/frameworks-css"
"techniques-doptimisation","techniques-doptimisation","62","site-web","spécialisation-création-site-web","optimisation-performances","","Techniques d'optimisation","Minification, compression, lazy loading","","","","site-web/optimisation-performances","site-web/techniques-doptimisation"
"gestion-de-build","gestion-de-build","63","site-web","spécialisation-création-site-web","optimisation-performances","","Gestion de build","Introduction à Webpack et Parcel","","","","site-web/optimisation-performances","site-web/gestion-de-build"
